name,address,city,state,zip_code,phone,website,email,rating,review_count,categories,description,source,source_url
21ST CENTURY CASUALTY COMPANY,,,CA,,,,,,,NAIC: 36404,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
21ST CENTURY INSURANCE COMPANY,,,CA,,,,,,,NAIC: 12963,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
5 STAR LIFE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 77879,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AAA LIFE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 71854,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACA FINANCIAL GUARANTY CORPORATION,,,CA,,,,,,,NAIC: 22896,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACA INSURANCE COMPANY,,,CA,,,,,,,NAIC: 10921,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACACIA LIFE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 60038,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACCENDO INSURANCE COMPANY,,,CA,,,,,,,NAIC: 63444,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACCEPTANCE INDEMNITY INSURANCE COMPANY,,,CA,,,,,,,NAIC: 20010,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACCESS INSURANCE COMPANY,,,CA,,,,,,,NAIC: 11711,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACCIDENT FUND INSURANCE COMPANY OF AMERICA,,,CA,,,,,,,NAIC: 10166,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
"ACCREDITED SURETY AND CASUALTY COMPANY, INC.",,,CA,,,,,,,NAIC: 26379,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACE AMERICAN INSURANCE COMPANY,,,CA,,,,,,,NAIC: 22667,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACE CAPITAL TITLE REINSURANCE COMPANY,,,CA,,,,,,,NAIC: 50028,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACE FIRE UNDERWRITERS INSURANCE COMPANY,,,CA,,,,,,,NAIC: 20702,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACE INDEMNITY INSURANCE COMPANY,,,CA,,,,,,,NAIC: 10030,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACE LIFE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 60348,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACE PROPERTY AND CASUALTY INSURANCE COMPANY,,,CA,,,,,,,NAIC: 20699,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACIG INSURANCE COMPANY,,,CA,,,,,,,NAIC: 19984,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ACSTAR INSURANCE COMPANY,,,CA,,,,,,,NAIC: 22950,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ADMIRAL LIFE INSURANCE COMPANY OF AMERICA,,,CA,,,,,,,NAIC: 71390,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
ADVANTAGE WORKERS COMPENSATION INSURANCE COMPANY,,,CA,,,,,,,NAIC: 40517,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AEGIS SECURITY INSURANCE COMPANY,,,CA,,,,,,,NAIC: 33898,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AETNA HEALTH AND LIFE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 78700,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AETNA INSURANCE COMPANY OF CONNECTICUT,,,CA,,,,,,,NAIC: 36153,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AETNA LIFE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 60054,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AFFILIATED FM INSURANCE COMPANY,,,CA,,,,,,,NAIC: 10014,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AFFIRMATIVE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 42609,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AGCS MARINE INSURANCE COMPANY,,,CA,,,,,,,NAIC: 22837,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AGL LIFE ASSURANCE COMPANY,,,CA,,,,,,,NAIC: 60232,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AGRI GENERAL INSURANCE COMPANY,,,CA,,,,,,,NAIC: 42757,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
AIG CENTENNIAL INSURANCE COMPANY,,,CA,,,,,,,NAIC: 34789,,CDI Admitted Insurers,https://www.insurance.ca.gov/0250-insurers/0300-insurers/0100-applications/upload/AdmittedInsurers.pdf
