name,type,address,phone,website,email,rating,priority_score,notes
"Anderson Franco, Esq.",independent,"
One Embarcadero Ctr #2860, San Francisco, CA 94111, United States",415-727-1832,http://www.andersonfranco.com/,contact@andersonfranco.com,5.0,6,Independent broker/agency; Has email + website
April Insurance Agency,independent,"
204 Valencia St Unit 6, San Francisco, CA 94103, United States",415-242-8100,http://aprilinsurance.com/,support@aprilinsurance.com,,6,Independent broker/agency; Has email + website
Basic West Insurance,independent,"
1641 Taraval St, San Francisco, CA 94116, United States",415-665-7400,https://basicwest.com/,info@basicwest.com,,6,Independent broker/agency; Has email + website
Biddle-Shaw Insurance Services,independent,"
301 Junipero Serra Blvd #204, San Francisco, CA 94127, United States",415-586-7200,http://www.biddleshaw.com/,info@biddleshaw.com,,6,Independent broker/agency; Has email + website
Broad Spectrum Insurance Services,independent,"
1000 Brannan St #205, San Francisco, CA 94103, United States",888-898-6999,https://www.broadspectruminsurance.com/,info@calinsurancepro.com,,6,Independent broker/agency; Has email + website
CAL Insurance & Associates,independent,"
314 W Portal Ave, San Francisco, CA 94127, United States",415-661-6500,https://mycalteam.com/,INFO@CAL-INSURE.COM,,6,Independent broker/agency; Has email + website
"Calco Commercial, Inc.",independent,"
425 2nd St Suite 450, San Francisco, CA 94107, United States",415-970-0000,https://calcosf.com/,info@calcosf.com,,6,Independent broker/agency; Has email + website
Calender-Robinson Insurance,independent,"
233 Sansome St Suite 508, San Francisco, CA 94104, United States",415-978-3800,https://calrob.com/,info@calrob.com,,6,Independent broker/agency; Has email + website
Charter Risk Management,independent,"
2310 Clement St, San Francisco, CA 94121, United States",415-876-5440,https://www.crminsure.com/,staff.crminsure@gmail.com,,6,Independent broker/agency; Has email + website
Crouse and Associates Insurance,independent,"
2900, 650 California St, San Francisco, CA 94108, United States",415-982-3870,https://crouseandassociates.com/,info@rtspecialty.com,,6,Independent broker/agency; Has email + website
EK Insurance,independent,"
237 Kearny St #9999, San Francisco, CA 94108, United States",415-915-0006,https://ekinsurance.com/san-francisco-commercial-insurance.html,Info@ekinsurance.com,,6,Independent broker/agency; Has email + website
Ferrer Insurance Services Inc,independent,"
5 3rd St #1025, San Francisco, CA 94103, United States",415-856-0709,http://www.ferrerins.com/,fisi@mindspring.com,,6,Independent broker/agency; Has email + website
Futuro Insurance Services Richmond,independent,"
12553 San Pablo Ave B, Richmond, CA 94805, United States",510-403-4333,https://futuroins.com/,jordana@futuroinsurances.com,,6,Independent broker/agency; Has email + website
Inclusive Insurance,independent,"
180 Montgomery St, San Francisco, CA 94104, United States",844-462-5874,http://inclusiveinsurance.com/,john@inclusiveinsurance.com,,6,Independent broker/agency; Has email + website
Insureaze Insurance Solutions,independent,"
2021 Fillmore St #9186, San Francisco, CA 94115, United States",800-897-8221,https://insureaze.com/,info@insureaze.com,,6,Independent broker/agency; Has email + website
Jurga Abudeab/ Insurance Agent,independent,"
201 Spear St # 1100, San Francisco, CA 94105, United States",415-216-3573,http://www.jurgainsurance.com/,jurgainsurance@hotmail.com,,6,Independent broker/agency; Has email + website
